latitude,longitude,local_government_area,statistical_area,crash_id,date_time_id,description_id,vehicles_id,casualties_id,year
-36.85317885,174.6364614,Auckland,513301,NZ662887,2018----,967226,2c,0c,2018
-41.13842654,174.843095,Porirua City,570800,NZ662890,2018----,967229,1c1f,0c,2018
-41.19625351,174.9186396,Hutt City,569402,NZ662892,2018----,967231,1c1i,0c,2018
-41.2026957,174.9065916,Hutt City,569401,NZ662893,2018----,967232,3c,0c,2018
-39.50533024,176.9172145,Napier City,546902,NZ662894,2018----,967233,2c2i,0c,2018
-38.56092923,178.2120944,Gisborne District,544001,NZ662895,2018----,967234,1c2i,0c,2018
-44.2864622,171.2385879,Timaru District,598313,NZ662896,2018----,967235,1o,0c,2018
-36.17993642,174.4496688,Kaipara District,505010,NZ662897,2018----,967236,2c,0c,2018
-35.88561474,174.4354107,Whangarei District,501811,NZ662899,2018----,967238,1c1i,0c,2018
-38.12404969,175.3275907,Otorohanga District,531304,NZ662900,2018----,967239,1f2i,0c,2018
-43.5201787,172.6380979,Christchurch City,592402,NZ662901,2018----,967240,2c,0c,2018
-44.6763704,169.1695311,Queenstown-Lakes District,608800,NZ662904,2018----,967243,1c,0c,2018
-45.88156346,170.5011544,Dunedin City,602900,NZ662905,2018----,967244,2c,0c,2018
-39.62481013,176.8586393,Hastings District,547600,NZ662906,2018----,967245,1c1i,0c,2018
-39.64019608,176.8699099,Hastings District,545721,NZ662910,2018----,967249,2c1f1i,0c,2018
-39.58296407,176.9164788,Hastings District,545730,NZ662912,2018----,967251,2c,0c,2018
-36.88473626,174.7817578,Auckland,519200,NZ662917,2018----,967256,1c1f1i,0c,2018
-36.91740363,174.8394972,Auckland,520500,NZ662918,2018----,967257,2c,0c,2018
-36.90906408,174.6331088,Auckland,512901,NZ662920,2018----,967259,2c,0c,2018
-38.63412865,177.9057574,Gisborne District,544002,NZ662922,2018----,967261,1c1i,0c,2018
-36.9773241,174.8230993,Auckland,524200,NZ662923,2018----,967262,1c2i,0c,2018
-36.06064532,174.4269035,Whangarei District,501815,NZ662924,2018----,967263,1T1o,0c,2018
-36.85170962,174.78126,Auckland,515902,NZ662925,2018----,967264,2c1i,0c,2018
-37.72672195,175.2476433,Hamilton City,527005,NZ662926,2018----,967265,2c1i,0c,2018
-37.69861512,176.1598405,Tauranga City,538201,NZ662928,2018----,967267,1c1f,0c,2018
-41.22284592,174.9108752,Hutt City,568701,NZ662933,2018----,967272,2c,0c,2018
-36.67316865,174.6834313,Auckland,506300,NZ662936,2018----,967275,1c1i,0c,2018
-41.20788479,172.905149,Tasman District,581833,NZ662938,2018----,967277,2c,0c,2018
-37.76622714,175.2735402,Hamilton City,529600,NZ662943,2018----,967282,1c1f,0c,2018
-46.00474617,169.1627777,Clutha District,607300,NZ662944,2018----,967283,1c1B,0c,2018
-46.21473871,168.8467592,Gore District,610010,NZ662946,2018----,967285,1c1i,0c,2018
-43.55961486,172.589425,Christchurch City,595300,NZ662948,2018----,967287,1f1i,0c,2018
-38.3349774,175.1671642,Waitomo District,532000,NZ662949,2018----,967288,1c1f,0c,2018
-35.94844042,173.8902908,Kaipara District,504502,NZ662950,2018----,967289,1f,0c,2018
-44.27935514,171.2313565,Timaru District,598313,NZ662951,2018----,967290,1f2i,0c,2018
-44.74783027,169.268658,Queenstown-Lakes District,608304,NZ662953,2018----,967292,1c,0c,2018
-38.54754982,178.2239781,Gisborne District,544001,NZ662954,2018----,967293,1c,0c,2018
